id,quartile,identifiers,areas
Applied Mathematics,Q2,['2279-7254'],"['Earth and Planetary Sciences', 'Environmental Science', 'Mathematics']"
Atmospheric Science,Q2,['2279-7254'],"['Earth and Planetary Sciences', 'Environmental Science', 'Mathematics']"
Computers in Earth Sciences,Q2,['2279-7254'],"['Earth and Planetary Sciences', 'Environmental Science', 'Mathematics']"
Communication,Q1,['2059-4372'],['Social Sciences']
Cultural Studies,Q1,['2059-4372'],['Social Sciences']
Leadership and Management,Q1,"['1833-3575', '1833-3583']","['Health Professions', 'Medicine', 'Nursing']"
Health Informatics,Q2,"['1833-3575', '1833-3583']","['Health Professions', 'Medicine', 'Nursing']"
Health Information Management,Q2,"['1833-3575', '1833-3583']","['Health Professions', 'Medicine', 'Nursing']"
Health Policy,Q2,"['1833-3575', '1833-3583']","['Health Professions', 'Medicine', 'Nursing']"
Social Sciences (miscellaneous),Q1,"['0020-8728', '1461-7234']",['Social Sciences']
Social Work,Q1,"['0020-8728', '1461-7234']",['Social Sciences']
Sociology and Political Science,Q1,"['0020-8728', '1461-7234']",['Social Sciences']
Computer Science (miscellaneous),Q1,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Law,Q1,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Political Science and International Relations,Q1,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Safety Research,Q1,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
"Safety, Risk, Reliability and Quality",Q1,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Computer Networks and Communications,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Computer Science Applications,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Hardware and Architecture,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Information Systems,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Social Psychology,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Software,Q2,['2057-2093'],"['Computer Science', 'Engineering', 'Psychology', 'Social Sciences']"
Materials Science (miscellaneous),Q2,['2589-1529'],['Materials Science']
Paleontology,Q1,"['2056-2799', '2056-2802']",['Earth and Planetary Sciences']
Pharmaceutical Science,Q1,['1551-7411'],"['Health Professions', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacy,Q1,['1551-7411'],"['Health Professions', 'Pharmacology, Toxicology and Pharmaceutics']"
Horticulture,Q1,['0304-4238'],['Agricultural and Biological Sciences']
"Geography, Planning and Development",Q1,"['1467-3584', '1742-9692']","['Business, Management and Accounting', 'Social Sciences']"
"Tourism, Leisure and Hospitality Management",Q2,"['1467-3584', '1742-9692']","['Business, Management and Accounting', 'Social Sciences']"
Developmental Biology,Q2,"['1872-6240', '0006-8993']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Molecular Biology,Q2,"['1872-6240', '0006-8993']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Neurology (clinical),Q2,"['1872-6240', '0006-8993']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Neuroscience (miscellaneous),Q2,"['1872-6240', '0006-8993']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Obstetrics and Gynecology,Q2,['2666-5719'],['Medicine']
Reproductive Medicine,Q2,['2666-5719'],['Medicine']
Animal Science and Zoology,Q1,"['1474-919X', '0019-1019']","['Agricultural and Biological Sciences', 'Environmental Science']"
"Ecology, Evolution, Behavior and Systematics",Q1,"['1474-919X', '0019-1019']","['Agricultural and Biological Sciences', 'Environmental Science']"
Nature and Landscape Conservation,Q1,"['1474-919X', '0019-1019']","['Agricultural and Biological Sciences', 'Environmental Science']"
Nuclear and High Energy Physics,Q2,['1029-8479'],['Physics and Astronomy']
"Business, Management and Accounting (miscellaneous)",Q1,"['1096-3367', '1945-1814']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Public Administration,Q1,"['1096-3367', '1945-1814']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Economics and Econometrics,Q2,"['1096-3367', '1945-1814']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Finance,Q2,"['1096-3367', '1945-1814']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Strategy and Management,Q2,"['1096-3367', '1945-1814']","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']"
Cognitive Neuroscience,Q2,"['1072-0502', '1549-5485']","['Neuroscience', 'Psychology']"
Neuropsychology and Physiological Psychology,Q2,"['1072-0502', '1549-5485']","['Neuroscience', 'Psychology']"
Cellular and Molecular Neuroscience,Q3,"['1072-0502', '1549-5485']","['Neuroscience', 'Psychology']"
Immunology,Q2,"['1769-714X', '1286-4579']","['Immunology and Microbiology', 'Medicine']"
Infectious Diseases,Q2,"['1769-714X', '1286-4579']","['Immunology and Microbiology', 'Medicine']"
Microbiology,Q2,"['1769-714X', '1286-4579']","['Immunology and Microbiology', 'Medicine']"
Cancer Research,Q2,"['0030-2414', '1423-0232']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q2,"['0030-2414', '1423-0232']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q2,"['0030-2414', '1423-0232']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Clinical Psychology,Q2,"['1750-9467', '1878-0237']","['Medicine', 'Psychology']"
Developmental and Educational Psychology,Q2,"['1750-9467', '1878-0237']","['Medicine', 'Psychology']"
Psychiatry and Mental Health,Q2,"['1750-9467', '1878-0237']","['Medicine', 'Psychology']"
Education,Q1,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Fluid Flow and Transfer Processes,Q1,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Catalysis,Q2,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Energy (miscellaneous),Q2,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Filtration and Separation,Q2,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Process Chemistry and Technology,Q2,['1026-9185'],"['Chemical Engineering', 'Energy', 'Social Sciences']"
Computer Science (miscellaneous),Q1,"['1875-8533', '1570-5838']","['Computer Science', 'Social Sciences']"
Linguistics and Language,Q1,"['1875-8533', '1570-5838']","['Computer Science', 'Social Sciences']"
Hardware and Architecture,Q2,['1556-6056'],['Computer Science']
Health Informatics,Q2,['2662-2211'],['Medicine']
Health Policy,Q2,['2662-2211'],['Medicine']
"Public Health, Environmental and Occupational Health",Q2,['2662-2211'],['Medicine']
Education,Q1,"['1743-7288', '1743-727X']",['Social Sciences']
Small Animals,Q1,"['1098-612X', '1532-2750']",['Veterinary']
Orthopedics and Sports Medicine,Q1,"['1938-2480', '1538-8506']",['Medicine']
Surgery,Q1,"['1938-2480', '1538-8506']",['Medicine']
"Pediatrics, Perinatology and Child Health",Q1,"['1092-7875', '1573-6628']",['Medicine']
Epidemiology,Q2,"['1092-7875', '1573-6628']",['Medicine']
Obstetrics and Gynecology,Q2,"['1092-7875', '1573-6628']",['Medicine']
"Public Health, Environmental and Occupational Health",Q2,"['1092-7875', '1573-6628']",['Medicine']
Biochemistry,Q2,"['1573-7365', '0885-7490']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Neurology (clinical),Q2,"['1573-7365', '0885-7490']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Cellular and Molecular Neuroscience,Q3,"['1573-7365', '0885-7490']","['Biochemistry, Genetics and Molecular Biology', 'Medicine', 'Neuroscience']"
Archeology,Q1,['0869-6063'],"['Arts and Humanities', 'Social Sciences']"
Archeology (arts and humanities),Q1,['0869-6063'],"['Arts and Humanities', 'Social Sciences']"
History,Q1,['0869-6063'],"['Arts and Humanities', 'Social Sciences']"
Bioengineering,Q2,"['2092-7843', '1976-0280']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Biomedical Engineering,Q2,"['2092-7843', '1976-0280']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Biotechnology,Q2,"['2092-7843', '1976-0280']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Electrical and Electronic Engineering,Q2,"['2092-7843', '1976-0280']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering']"
Physiology,Q2,"['1525-6073', '0742-0528']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Physiology (medical),Q2,"['1525-6073', '0742-0528']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Economics and Econometrics,Q2,"['1331-677X', '1848-9664']","['Economics, Econometrics and Finance']"
Epidemiology,Q2,"['1469-4409', '0950-2688']",['Medicine']
Infectious Diseases,Q2,"['1469-4409', '0950-2688']",['Medicine']
Social Sciences (miscellaneous),Q1,"['0966-0410', '1365-2524']","['Medicine', 'Social Sciences']"
Sociology and Political Science,Q1,"['0966-0410', '1365-2524']","['Medicine', 'Social Sciences']"
Health Policy,Q2,"['0966-0410', '1365-2524']","['Medicine', 'Social Sciences']"
"Public Health, Environmental and Occupational Health",Q2,"['0966-0410', '1365-2524']","['Medicine', 'Social Sciences']"
Social Work,Q2,"['0966-0410', '1365-2524']","['Medicine', 'Social Sciences']"
Health Informatics,Q2,"['1460-4582', '1741-2811']",['Medicine']
Education,Q1,['1467-6370'],['Social Sciences']
Human Factors and Ergonomics,Q1,['1467-6370'],['Social Sciences']
Mechanical Engineering,Q1,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
Nuclear Energy and Engineering,Q1,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
"Safety, Risk, Reliability and Quality",Q1,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q2,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
Nuclear and High Energy Physics,Q2,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
Waste Management and Disposal,Q2,['0029-5493'],"['Energy', 'Engineering', 'Environmental Science', 'Materials Science', 'Physics and Astronomy']"
Ecology,Q1,['2475-4455'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Environmental Science']"
"Ecology, Evolution, Behavior and Systematics",Q1,['2475-4455'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Environmental Science']"
Plant Science,Q1,['2475-4455'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Environmental Science']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q2,['2475-4455'],"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Environmental Science']"
Education,Q1,['1475-7257'],"['Psychology', 'Social Sciences']"
Psychology (miscellaneous),Q2,['1475-7257'],"['Psychology', 'Social Sciences']"
Hardware and Architecture,Q2,"['1558-3465', '1539-9087']",['Computer Science']
Software,Q2,"['1558-3465', '1539-9087']",['Computer Science']
Parasitology,Q1,"['1360-2276', '1365-3156']","['Immunology and Microbiology', 'Medicine']"
Infectious Diseases,Q2,"['1360-2276', '1365-3156']","['Immunology and Microbiology', 'Medicine']"
"Public Health, Environmental and Occupational Health",Q2,"['1360-2276', '1365-3156']","['Immunology and Microbiology', 'Medicine']"
"Economics, Econometrics and Finance (miscellaneous)",Q1,"['1747-3616', '1758-7212']","['Economics, Econometrics and Finance', 'Social Sciences']"
Life-span and Life-course Studies,Q2,"['1747-3616', '1758-7212']","['Economics, Econometrics and Finance', 'Social Sciences']"
Development,Q1,"['1467-8268', '1017-6772']",['Social Sciences']
Linguistics and Language,Q1,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
LPN and LVN,Q1,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
Otorhinolaryngology,Q1,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
Developmental and Educational Psychology,Q2,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
Neurology,Q2,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
Neurology (clinical),Q2,"['1464-5041', '0268-7038']","['Medicine', 'Neuroscience', 'Nursing', 'Psychology', 'Social Sciences']"
Endocrinology,Q2,"['2352-3840', '1499-2671']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Endocrinology, Diabetes and Metabolism",Q2,"['2352-3840', '1499-2671']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Internal Medicine,Q2,"['2352-3840', '1499-2671']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q2,"['2352-3840', '1499-2671']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Food Science,Q1,['2475-2991'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
Medicine (miscellaneous),Q2,['2475-2991'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
Nutrition and Dietetics,Q2,['2475-2991'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
Modeling and Simulation,Q1,['2193-1127'],"['Computer Science', 'Mathematics']"
Computational Mathematics,Q2,['2193-1127'],"['Computer Science', 'Mathematics']"
Computer Science Applications,Q2,['2193-1127'],"['Computer Science', 'Mathematics']"
Molecular Medicine,Q2,"['1521-0103', '0022-3565']","['Biochemistry, Genetics and Molecular Biology', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacology,Q2,"['1521-0103', '0022-3565']","['Biochemistry, Genetics and Molecular Biology', 'Pharmacology, Toxicology and Pharmaceutics']"
Ecology,Q1,"['1573-1596', '1381-2386']",['Environmental Science']
Global and Planetary Change,Q2,"['1573-1596', '1381-2386']",['Environmental Science']
Neuroscience (miscellaneous),Q2,"['1872-9711', '0161-813X']","['Neuroscience', 'Pharmacology, Toxicology and Pharmaceutics']"
Toxicology,Q2,"['1872-9711', '0161-813X']","['Neuroscience', 'Pharmacology, Toxicology and Pharmaceutics']"
Applied Mathematics,Q2,"['1017-1398', '1572-9265']",['Mathematics']
Materials Chemistry,Q1,['0032-3861'],"['Chemistry', 'Materials Science']"
Organic Chemistry,Q1,['0032-3861'],"['Chemistry', 'Materials Science']"
Polymers and Plastics,Q1,['0032-3861'],"['Chemistry', 'Materials Science']"
Chemical Engineering (miscellaneous),Q1,['2772-4433'],"['Chemical Engineering', 'Energy', 'Materials Science']"
Fuel Technology,Q2,['2772-4433'],"['Chemical Engineering', 'Energy', 'Materials Science']"
Materials Science (miscellaneous),Q2,['2772-4433'],"['Chemical Engineering', 'Energy', 'Materials Science']"
Economics and Econometrics,Q2,['0038-4038'],"['Economics, Econometrics and Finance']"
Agricultural and Biological Sciences (miscellaneous),Q1,"['1572-8404', '0169-3867']","['Agricultural and Biological Sciences', 'Arts and Humanities']"
History and Philosophy of Science,Q1,"['1572-8404', '0169-3867']","['Agricultural and Biological Sciences', 'Arts and Humanities']"
Philosophy,Q1,"['1572-8404', '0169-3867']","['Agricultural and Biological Sciences', 'Arts and Humanities']"
"Ecology, Evolution, Behavior and Systematics",Q1,"['1936-6426', '1936-6434']","['Agricultural and Biological Sciences', 'Social Sciences']"
Education,Q1,"['1936-6426', '1936-6434']","['Agricultural and Biological Sciences', 'Social Sciences']"
Food Science,Q1,['2296-861X'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
"Endocrinology, Diabetes and Metabolism",Q2,['2296-861X'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
Nutrition and Dietetics,Q2,['2296-861X'],"['Agricultural and Biological Sciences', 'Medicine', 'Nursing']"
Genetics,Q2,"['1555-3884', '1052-2166']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q2,"['1555-3884', '1052-2166']","['Biochemistry, Genetics and Molecular Biology']"
Arts and Humanities (miscellaneous),Q1,"['1464-5173', '1360-3116']","['Arts and Humanities', 'Social Sciences']"
Education,Q1,"['1464-5173', '1360-3116']","['Arts and Humanities', 'Social Sciences']"
Artificial Intelligence,Q2,"['2192-6360', '2192-6352']",['Computer Science']
Cultural Studies,Q1,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
Health (social science),Q1,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
History and Philosophy of Science,Q1,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
Sociology and Political Science,Q1,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
Biomedical Engineering,Q2,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
Biotechnology,Q2,['0950-5431'],"['Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology', 'Engineering', 'Social Sciences']"
Psychiatry and Mental Health,Q2,['1178-2218'],['Medicine']
Civil and Structural Engineering,Q1,['1000-1964'],"['Earth and Planetary Sciences', 'Engineering']"
Geology,Q1,['1000-1964'],"['Earth and Planetary Sciences', 'Engineering']"
Mechanical Engineering,Q1,['1000-1964'],"['Earth and Planetary Sciences', 'Engineering']"
Geotechnical Engineering and Engineering Geology,Q2,['1000-1964'],"['Earth and Planetary Sciences', 'Engineering']"
Environmental Chemistry,Q2,"['1872-9134', '0883-2927']","['Earth and Planetary Sciences', 'Environmental Science']"
Geochemistry and Petrology,Q2,"['1872-9134', '0883-2927']","['Earth and Planetary Sciences', 'Environmental Science']"
Pollution,Q2,"['1872-9134', '0883-2927']","['Earth and Planetary Sciences', 'Environmental Science']"
Public Administration,Q1,['0317-0861'],['Social Sciences']
Sociology and Political Science,Q1,['0317-0861'],['Social Sciences']
Accounting,Q2,['1755-3091'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Finance,Q2,['1755-3091'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Arts and Humanities (miscellaneous),Q1,"['1053-8100', '1090-2376']","['Arts and Humanities', 'Psychology']"
Developmental and Educational Psychology,Q2,"['1053-8100', '1090-2376']","['Arts and Humanities', 'Psychology']"
Experimental and Cognitive Psychology,Q2,"['1053-8100', '1090-2376']","['Arts and Humanities', 'Psychology']"
Ecology,Q1,"['0364-152X', '1432-1009']",['Environmental Science']
Global and Planetary Change,Q2,"['0364-152X', '1432-1009']",['Environmental Science']
Pollution,Q2,"['0364-152X', '1432-1009']",['Environmental Science']
Archeology,Q1,"['1736-7484', '1406-2933']","['Arts and Humanities', 'Social Sciences']"
Archeology (arts and humanities),Q1,"['1736-7484', '1406-2933']","['Arts and Humanities', 'Social Sciences']"
Pharmacology,Q2,"['1936-2293', '1064-1297']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacology (medical),Q2,"['1936-2293', '1064-1297']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Psychiatry and Mental Health,Q2,"['1936-2293', '1064-1297']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Oncology,Q2,"['1473-7140', '1744-8328']",['Medicine']
Pharmacology (medical),Q2,"['1473-7140', '1744-8328']",['Medicine']
Mathematical Physics,Q1,['2379-8793'],"['Mathematics', 'Physics and Astronomy']"
Modeling and Simulation,Q1,['2379-8793'],"['Mathematics', 'Physics and Astronomy']"
Physics and Astronomy (miscellaneous),Q1,['2379-8793'],"['Mathematics', 'Physics and Astronomy']"
Computational Mathematics,Q2,['2379-8793'],"['Mathematics', 'Physics and Astronomy']"
Cancer Research,Q2,"['0265-6736', '1464-5157']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine']"
Medicine (miscellaneous),Q2,"['0265-6736', '1464-5157']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine']"
Physiology,Q2,"['0265-6736', '1464-5157']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine']"
Physiology (medical),Q2,"['0265-6736', '1464-5157']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine']"
Radiological and Ultrasound Technology,Q2,"['0265-6736', '1464-5157']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine']"
Computational Mechanics,Q1,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Computer Graphics and Computer-Aided Design,Q1,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Engineering (miscellaneous),Q1,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Modeling and Simulation,Q1,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Computational Mathematics,Q2,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Human-Computer Interaction,Q2,"['2288-5048', '2288-4300']","['Computer Science', 'Engineering', 'Mathematics']"
Business and International Management,Q2,"['0891-1762', '1528-6975']","['Business, Management and Accounting']"
Marketing,Q2,"['0891-1762', '1528-6975']","['Business, Management and Accounting']"
Management Information Systems,Q1,"['2191-477X', '2191-4761']","['Business, Management and Accounting', 'Decision Sciences']"
Accounting,Q2,"['2191-477X', '2191-4761']","['Business, Management and Accounting', 'Decision Sciences']"
Management of Technology and Innovation,Q2,"['2191-477X', '2191-4761']","['Business, Management and Accounting', 'Decision Sciences']"
Management Science and Operations Research,Q2,"['2191-477X', '2191-4761']","['Business, Management and Accounting', 'Decision Sciences']"
Strategy and Management,Q2,"['2191-477X', '2191-4761']","['Business, Management and Accounting', 'Decision Sciences']"
Materials Chemistry,Q1,"['2642-4150', '2642-4169']","['Chemistry', 'Materials Science']"
Physical and Theoretical Chemistry,Q1,"['2642-4150', '2642-4169']","['Chemistry', 'Materials Science']"
Polymers and Plastics,Q1,"['2642-4150', '2642-4169']","['Chemistry', 'Materials Science']"
Linguistics and Language,Q1,"['1092-4388', '1558-9102']","['Health Professions', 'Medicine', 'Social Sciences']"
Speech and Hearing,Q1,"['1092-4388', '1558-9102']","['Health Professions', 'Medicine', 'Social Sciences']"
Medicine (miscellaneous),Q2,"['1092-4388', '1558-9102']","['Health Professions', 'Medicine', 'Social Sciences']"
Engineering (miscellaneous),Q1,"['1674-7321', '1869-1900']","['Engineering', 'Materials Science']"
Materials Science (miscellaneous),Q2,"['1674-7321', '1869-1900']","['Engineering', 'Materials Science']"
Anthropology,Q1,"['1573-6725', '0885-7466']",['Social Sciences']
Law,Q1,"['1573-6725', '0885-7466']",['Social Sciences']
Sociology and Political Science,Q1,"['1573-6725', '0885-7466']",['Social Sciences']
Engineering (miscellaneous),Q1,"['1873-5339', '0965-9978']","['Computer Science', 'Engineering']"
Software,Q2,"['1873-5339', '0965-9978']","['Computer Science', 'Engineering']"
Engineering (miscellaneous),Q1,['2666-9129'],['Engineering']
Industrial and Manufacturing Engineering,Q1,['2666-9129'],['Engineering']
Mechanical Engineering,Q1,['2666-9129'],['Engineering']
Mechanics of Materials,Q1,['2666-9129'],['Engineering']
Surgery,Q1,['2352-3441'],['Medicine']
Orthopedics and Sports Medicine,Q2,['2352-3441'],['Medicine']
Chemistry (miscellaneous),Q1,"['2772-5715', '2097-0323']","['Chemistry', 'Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q1,"['2772-5715', '2097-0323']","['Chemistry', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q2,"['2772-5715', '2097-0323']","['Chemistry', 'Materials Science', 'Physics and Astronomy']"
Nuclear Energy and Engineering,Q1,"['1099-114X', '0363-907X']",['Energy']
Energy Engineering and Power Technology,Q2,"['1099-114X', '0363-907X']",['Energy']
Fuel Technology,Q2,"['1099-114X', '0363-907X']",['Energy']
"Renewable Energy, Sustainability and the Environment",Q2,"['1099-114X', '0363-907X']",['Energy']
Finance,Q2,"['2053-4841', '2053-4833']","['Economics, Econometrics and Finance']"
Biochemistry,Q2,"['1873-5169', '0196-9781']","['Biochemistry, Genetics and Molecular Biology', 'Neuroscience']"
Endocrinology,Q2,"['1873-5169', '0196-9781']","['Biochemistry, Genetics and Molecular Biology', 'Neuroscience']"
Physiology,Q2,"['1873-5169', '0196-9781']","['Biochemistry, Genetics and Molecular Biology', 'Neuroscience']"
Cellular and Molecular Neuroscience,Q3,"['1873-5169', '0196-9781']","['Biochemistry, Genetics and Molecular Biology', 'Neuroscience']"
Rehabilitation,Q1,"['1476-5624', '1362-4393']","['Medicine', 'Neuroscience']"
Medicine (miscellaneous),Q2,"['1476-5624', '1362-4393']","['Medicine', 'Neuroscience']"
Neurology,Q2,"['1476-5624', '1362-4393']","['Medicine', 'Neuroscience']"
Neurology (clinical),Q2,"['1476-5624', '1362-4393']","['Medicine', 'Neuroscience']"
Critical Care Nursing,Q1,['1036-7314'],['Nursing']
Emergency Nursing,Q1,['1036-7314'],['Nursing']
Dentistry (miscellaneous),Q1,"['1591-996X', '2035-648X']","['Dentistry', 'Medicine']"
"Pediatrics, Perinatology and Child Health",Q1,"['1591-996X', '2035-648X']","['Dentistry', 'Medicine']"
Medicine (miscellaneous),Q2,"['1591-996X', '2035-648X']","['Dentistry', 'Medicine']"
Education,Q1,"['0263-9769', '0951-5224']",['Social Sciences']
"Business, Management and Accounting (miscellaneous)",Q1,"['2329-4884', '2329-4892']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
"Economics, Econometrics and Finance (miscellaneous)",Q1,"['2329-4884', '2329-4892']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Social Sciences (miscellaneous),Q1,['1557-9336'],['Social Sciences']
Economics and Econometrics,Q2,['1049-0078'],"['Economics, Econometrics and Finance']"
Finance,Q2,['1049-0078'],"['Economics, Econometrics and Finance']"
Biophysics,Q1,"['1873-5711', '1050-6411']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine', 'Neuroscience']"
Neurology (clinical),Q2,"['1873-5711', '1050-6411']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine', 'Neuroscience']"
Neuroscience (miscellaneous),Q2,"['1873-5711', '1050-6411']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine', 'Neuroscience']"
Sports Science,Q2,"['1873-5711', '1050-6411']","['Biochemistry, Genetics and Molecular Biology', 'Health Professions', 'Medicine', 'Neuroscience']"
Economic Geology,Q2,['0375-6742'],['Earth and Planetary Sciences']
Geochemistry and Petrology,Q2,['0375-6742'],['Earth and Planetary Sciences']
Assessment and Diagnosis,Q1,"['1553-5606', '1553-5592']","['Medicine', 'Nursing']"
Care Planning,Q1,"['1553-5606', '1553-5592']","['Medicine', 'Nursing']"
Fundamentals and Skills,Q1,"['1553-5606', '1553-5592']","['Medicine', 'Nursing']"
Leadership and Management,Q1,"['1553-5606', '1553-5592']","['Medicine', 'Nursing']"
Health Policy,Q2,"['1553-5606', '1553-5592']","['Medicine', 'Nursing']"
