Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Revista de Turism: Studii si Cercetari in Turism,1844-2994,1844-3265,English,Universitatii Suceava,False,CC BY,False
"International Journal of Child, Youth & Family Studies",N/A,1920-7298,English,University of Victoria,False,CC BY-NC,False
Journal of Economic Education,2301-7341,N/A,"English, Indonesian",Universitas Negeri Semarang,False,CC BY,True
International Journal of Korean History,1598-2041,2508-5921,English,"Korea University, Center for Korean History",False,CC BY-NC,False
Current Health Sciences Journal,N/A,2069-4032,English,Medical University Publishing House Craiova,False,CC BY-NC-SA,False
Izvestiâ Vuzov: Investicii. Stroitelʹstvo. Nedvižimostʹ,2227-2917,2500-154X,Russian,Irkutsk National Research Technical University,False,CC BY,False
Journal of the Southern African Institute of Mining and Metallurgy,N/A,2411-9717,English,The Southern African Institute of Mining and Metallurgy,False,CC BY,False
Psicologia em Pesquisa,N/A,1982-1247,"Portuguese, Spanish",Universidade Federal de Juiz de Fora,False,CC BY,False
Revista Panamericana de Salud Pública,1020-4989,1680-5348,"English, Portuguese, Spanish",Pan American Health Organization,False,CC BY-NC-ND,False
Journal of Orthopaedic Case Reports,2250-0685,2321-3817,English,Indian Orthopaedic Research Group,False,CC BY-NC,True
Oman Medical Journal,1999-768X,2070-5204,English,Oman Medical Specialty Board,False,CC BY-NC,False
Future Human Image,2311-8822,2519-2604,"Ukrainian, Russian, English",International Society of Philosophy and Cosmology,False,CC BY,False
Zirā̒at va Fanāvarī-i Za̒farān,2383-1529,2383-2142,Persian,University of Torbat Heydarieh,False,CC BY-NC,False
Ennen ja Nyt: Historian Tietosanomat,N/A,1458-1396,"Finnish, French",Historiallinen yhdistys,False,CC BY,False
Working Papers in Applied Linguistics and TESOL,N/A,2576-2907,English,Columbia University Libraries,False,CC BY,False
Zemljište i biljka,0514-6658,2560-4279,"English, Serbo-Croatian","Serbian Soil Science Society, Belgrade",False,CC BY-SA,False
Studia Universitatis Hereditati,N/A,2350-5443,"English, Italian, Slovenian",University of Primorska,False,CC BY-NC-ND,False
Historijski pogledi,2637-1502,2712-0651,"Bosnian, Croatian, English, Serbian",Center for Research of Modern and Contemporary History Tuzla,False,CC BY-NC-ND,False
Advances in Aerodynamics,N/A,2524-6992,English,SpringerOpen,False,CC BY,False
Revista de Ciencias Forenses de Honduras,2412-8058,2413-1067,Spanish,Ministerio Público de Honduras,False,CC BY-NC,False
International Journal of Religious Tourism and Pilgrimage,N/A,2009-7379,English,Technological University Dublin,False,CC BY-SA,False
Prometeica,N/A,1852-9488,"English, Portuguese, Spanish",Universidade Federal de São Paulo,False,CC BY-NC,False
Academo,N/A,2414-8938,Spanish,Universidad Americana,False,CC BY,False
Socialium,N/A,2706-6053,Spanish,Universidad Nacional del Centro del Perú,False,CC BY-NC-SA,False
Periodyk Naukowy Akademii Polonijnej,1895-9911,2543-8204,"Polish, English","""Educator"" Publishing House of Polonia University",False,CC BY,True
Atalanta: Revista de las Letras Barrocas,N/A,2340-1176,Spanish,Universidad de Sevilla,False,CC BY-NC-SA,False
Studia Heideggeriana,2250-8740,2250-8767,Spanish,Sociedad Iberoamericana de Estudios Heideggerianos,False,CC BY-NC-ND,False
Journal of Appalachian Health,N/A,2641-7804,English,University of Kentucky,False,CC BY,False
Историческое оружиеведение,N/A,2713-1491,"English, Russian",Center of Support and Development of Actual Research in the Field of Historical Weaponry,False,CC BY,False
Journal of Mason Graduate Research,N/A,2327-0764,English,Mason Journals,False,CC BY-NC-ND,False
Herausforderung Lehrer*innenbildung,N/A,2625-0675,"English, German",BiSEd,False,CC BY-SA,False
Journal of Bioenergy and Food Science,N/A,2359-2710,"English, Portuguese, Spanish","Instituto Federal de Educação, Ciência e Tecnologia do Amapá",False,CC BY-NC-SA,False
HortScience,N/A,2327-9834,English,American Society for Horticultural Science (ASHS),False,CC BY-NC-ND,True
Jurnal Magister Hukum Udayana,2302-528X,N/A,"English, Indonesian",Universitas Udayana,False,CC BY-NC,False
Jurnal Rekayasa Proses,1978-287X,2549-1490,"English, Indonesian",Universitas Gadjah Mada,False,CC BY-SA,True
Clio Arqueológica,N/A,2448-2331,Portuguese,Universidade Federal de Pernambuco,False,CC BY,False
مجله دامپزشکی ایران.,1735-6873,2676-704X,"English, Persian",Shahid Chamran University of Ahvaz,False,CC BY-NC,True
Revista do Instituto de Latícinios Cândido Tostes,0100-3674,2238-6416,"English, Portuguese",Empresa de Pesquisa Agropecuária de Minas Gerais (EPAMIG),False,CC BY,False
PULS UCZELNI,2080-2021,2449-9021,"English, Polish",Opole Medical School,False,CC BY-NC-SA,False
Neonatal Medicine,2287-9412,2287-9803,"English, Korean",Korean Society of Neonatology,False,CC BY-NC,False
Confluenze,N/A,2036-0967,"Italian, Portuguese, Spanish",University of Bologna,True,CC BY,False
La Trama de la Comunicación,1668-5628,2314-2634,Spanish,Universidad Nacional Rosario,False,CC BY-NC-SA,False
Journal of Health Management & Informatics,2322-1097,2423-5857,English,Shiraz University of Medical Sciences,False,CC BY,False
South African Journal of Industrial Engineering,1012-277X,2224-7890,English,Stellenbosch University,False,CC BY,True
"Revista Brasileira de Obesidade, Nutrição e Emagrecimento",N/A,1981-9919,Portuguese,Instituto Brasileiro de Pesquisa e Ensino em Fisiologia do Exercício,False,CC BY-NC,False
Acta Academica,0587-2405,2415-0479,English,University of the Free State,False,CC BY,False
Research in Oncology,2357-0687,2357-0695,English,Kasr Al-Ainy Center of Clinical Oncology and Nuclear Medicine,False,CC BY,True
Stichproben,1992-8610,1992-8629,"English, French, German, Swahili (macrolanguage)",Stichproben,False,CC BY,False
Clinical Medicine Insights: Blood Disorders,N/A,1179-545X,English,SAGE Publishing,False,"CC BY, CC BY-NC",False
Economía,0254-4415,2304-4306,"English, Spanish",Pontificia Universidad Católica del Perú,False,CC BY,False
Addiction and Health,2008-4633,2008-8469,English,Kerman University of Medical Sciences,False,CC BY,False
Nature Environment and Pollution Technology,0972-6268,2395-3454,English,Technoscience Publications,False,CC BY,True
Akroterion,0303-1896,2079-2883,"Afrikaans, English","Stellenbsoch University, Department of Ancient Studies",False,CC BY-NC-ND,True
Lateral,N/A,2469-4053,English,Cultural Studies Association,False,CC BY-NC,False
"Revista Educação, Pesquisa e Inclusão",N/A,2675-3294,Portuguese,Universidade Federal de Roraima,False,CC BY-NC-SA,False
Jurnal Riptek,1978-8320,2716-3482,Indonesian,Bappeda Kota Semarang,False,CC BY-NC-SA,False
Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi,2502-3470,2581-0367,"English, Indonesian",Universitas Dr Soetomo,False,CC BY-SA,False
Liminar: Estudios Sociales y Humanísticos,1665-8027,2007-8900,Spanish,Universidad de Ciencias y Artes de Chiapas,False,CC BY-NC-SA,False
Encartes,N/A,2594-2999,Spanish,Centro de Investigación y Estudios Superiores en Antropología Social (CIESAS-CONACYT),False,CC BY-NC,False
Lexikos,1684-4904,2224-0039,"Afrikaans, Dutch, English, French, German",Woordeboek van die Afrikaanse Taal-WAT,False,CC BY,True
Études romanes de Brno,1803-7399,2336-4416,"Spanish, Portuguese, Italian, French, Catalan",Masaryk University,False,CC BY-SA,False
Nova Revista Amazônica,N/A,2318-1346,Portuguese,Universidade Federal do Pará (UFPA),False,CC BY-SA,False
Estudios de Derecho,0120-1867,2145-6151,Spanish,Universidad de Antioquia,False,CC BY-NC-SA,False
Trans-pasando Fronteras,2248-7212,2322-9152,"English, Spanish",Universidad ICESI,False,CC BY-NC-ND,False
Sede de Ler,2179-5258,2675-200X,Portuguese,Universidade Federal Fluminense,False,CC BY-NC,False
Journal of Advanced Periodontology and Implant Dentistry,N/A,2645-5390,English,Tabriz University of Medical Sciences,False,CC BY,False
"Проблеми теорії та методології бухгалтерського обліку, контролю і аналізу",1994-1749,2708-4957,"English, Polish, Russian, Ukrainian",Zhytomyr Polytechnic State University,False,CC BY-NC,True
Logos & Episteme: An International Journal of Epistemology,2069-0533,2069-3052,English,“Gh Zane” Institute for Economic and Social Research,False,CC BY-NC,False
"Sostenibilidad, Tecnología y Humanismo",2216-1864,2216-1872,Spanish,Fundación Universitaria Antonio de Arévalo,False,CC BY-NC,False
"Anaesthesia, Pain & Intensive Care",1607-8322,2220-5799,English,THK,False,CC BY-NC,True
Економіка та управління АПК,2310-9262,2415-7554,"English, Russian, Ukrainian",BilaTserkva National Agrarian University,False,CC BY,False
Georgia Journal of College Student Affairs,N/A,2330-7269,English,Georgia Southern University,False,CC BY-NC-ND,False
Linguagem em Foco,2176-7955,2674-8266,"Portuguese, English, Spanish, French",Universidade Estadual do Ceará,False,CC BY,False
Romanian Journal of History and International Studies,2360-638X,2559-544X,English,Literati,False,CC BY-SA,False
South African Journal of Libraries and Information Science,0256-8861,2304-8263,English,Stellenbosch University,False,CC BY-SA,True
Revista Brasileira de Geomática,N/A,2317-4285,Portuguese,Universidade Tecnológica Federal do Paraná,False,CC BY-NC,False
Junior Scientific Researcher,N/A,2458-0341,"English, Romanian",Research Publishing SRL,False,CC BY,True
Studia Paedagogica,1803-7437,2336-4521,"Slovak, English, Czech",Masaryk University,False,CC BY,False
Revista do Instituto Florestal,0103-2674,2178-5031,"Spanish, Portuguese, English",Instituto Florestal,False,CC BY-NC,False
Moneta e Credito,0026-9611,2037-3651,Italian,Associazione Economia civile,False,CC BY-NC-ND,False
TVET@sia,N/A,2196-839X,English,Prof. Dr. Dr. h.c. Thomas Schröder,False,CC BY-NC-ND,False
Nineteenth-Century Gender Studies,N/A,1556-7524,English,Nineteenth-Century Gender Studies,False,Publisher's own license,False
EAI Endorsed Transactions on Ambient Systems,N/A,2032-927X,English,European Alliance for Innovation (EAI),False,CC BY,False
EAI Endorsed Transactions on Serious Games,N/A,2034-8800,English,European Alliance for Innovation (EAI),False,CC BY,False
EAI Endorsed Transactions on Creative Technologies,N/A,2409-9708,English,European Alliance for Innovation (EAI),False,CC BY,False
Revista SOCAMPAR,N/A,2529-9859,Spanish,Sociedad Castellano Manchega de Patología Respiratoria (SOCAMPAR),False,Publisher's own license,False
REVCOM,N/A,2451-7836,Spanish,Asociación Civil Red de Carreras de Comunicación Social y Periodismo,False,CC BY-NC-SA,False
Bulletin de la Dialyse à Domicile,N/A,2607-9917,"English, French",RDPLF,True,CC BY,False
Jurnal Informatika,2355-6579,2528-2247,Indonesian,"Universitas Bina Sarana Informatika, LPPM",False,CC BY-SA,True
Journal de Ciencias Sociales,N/A,2362-194X,"English, Spanish",Universidad de Palermo,False,CC BY,False
Caspian Journal of Reproductive Medicine,N/A,2423-5660,English,Babol University of Medical Sciences,False,Publisher's own license,False
"Мир Hауки: Социология, Филология, Культурология",N/A,2542-0577,Russian,"«Publishing company «World of science», LLC",False,CC BY,False
Revista Bahiana de Odontologia,N/A,2238-2720,"Portuguese, English",Escola Bahiana de Medicina e Saúde Pública,False,CC BY,False
Politik Indonesia: Indonesian Political Science Review,2477-8060,2503-4456,"Indonesian, Malay (macrolanguage), English","Political Science Program, Universitas Negeri Semarang",False,CC BY-NC-SA,False
German as a Foreign Language,N/A,1470-9570,"English, German",GFL,False,Publisher's own license,False
Anuario Iberoamericano de Derecho Internacional Penal,N/A,2346-3120,Spanish,Universidad del Rosario,False,CC BY-NC,False
Transformative Works and Cultures,N/A,1941-2258,English,Organization for Transformative Works,False,CC BY,False
Buletinul Cercurilor Științifice Studențești,1454-8097,N/A,"English, Romanian",“1 Decembrie 1918” University of Alba Iulia,False,CC BY-SA,False
Canadian Journal of Speech-Language Pathology and Audiology,1913-200X,1913-2018,"English, French",Speech-Language and Audiology Canada (SAC),False,Publisher's own license,False
Transplantation Direct,N/A,2373-8731,English,Wolters Kluwer,False,"CC BY, CC BY-NC-ND",True
Jurnal Ekonomi dan Bisnis,1411-2280,N/A,Indonesian,Universitas Islam Sultan Agung Semarang,False,CC BY-SA,False
Synergies Portugal,2268-493X,2268-4948,"French, Portuguese",Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT),False,CC BY-NC-ND,False
New Voices,1833-5233,2204-194X,English,"The Japan Foundation, Sydney",False,Publisher's own license,False
Lingua Didaktika: Jurnal Bahasa dan Pembelajaran Bahasa,1979-0457,2541-0075,"English, Indonesian",Universitas Negeri Padang,False,CC BY-NC,True
Revista Nicolaita de Estudios Económicos,N/A,2007-9877,Spanish,Universidad Michoacana de San Nicolás de Hidalgo,False,CC BY-NC-ND,False
Mediterranean Botany,N/A,2603-9109,English,Universidad Complutense de Madrid,False,CC BY,False
Ekonomika Management Inovace,1804-1299,1805-353X,"Czech, English, Slovak",Moravian University College Olomouc,False,CC BY-NC-ND,False
Farol. Revista de Estudos Organizacionais e Sociedade,N/A,2358-6311,Portuguese,Universidade Federal de Minas Gerais,False,CC BY,False
Revista EIA,1794-1237,N/A,"English, Spanish",Universidad EIA,False,CC BY-NC-ND,False
Revista de Osteoporosis y Metabolismo Mineral,1889-836X,2173-2345,"English, Spanish",Ibáñez & Plaza Asoc.,False,Publisher's own license,False
Pizhūhish/nāmah-i Mabānī-i Ta̒līm va Tarbiyat.,2251-6360,2423-4273,Persian,Ferdowsi University of Mashhad,False,CC BY-NC,False
Langkawi: Journal of The Association for Arabic and English,2460-2280,2549-9017,"Arabic, English",UPT Pengembangan Bahasa IAIN Kendari,False,CC BY-SA,True
Canadian Journal of Bioethics,N/A,2561-4665,"English, French","Programmes de bioéthique, École de santé publique de l'Université de Montréal",False,CC BY,False
علوم و تحقیقات بذر ایران,N/A,2476-3780,Persian,University of Guilan,False,CC BY,False
Journal of Research on History of Medicine,N/A,2251-886X,English,Shiraz University of Medical Sciences,False,CC BY-NC,False
Sudan Journal of Medical Sciences,N/A,1858-5051,English,Knowledge E,True,CC BY,False
Порівняльно-педагогічні студії,2306-5532,2312-1904,"English, Polish, Russian, Ukrainian",Pavlo Tychyna Uman State Pedagogical University,False,CC BY-SA,True
Jurnal Penelitian Fisika dan Aplikasinya,2087-9946,N/A,"English, Indonesian",Universitas Negeri Surabaya,False,CC BY-NC,True
Revista de Filosofia,0034-8244,1988-284X,"English, French, German, Italian, Portuguese, Spanish",Universidad Complutense de Madrid,False,CC BY,False
UKH Journal of Social Sciences,N/A,2520-7806,English,University of Kurdistan Hewler,False,CC BY-NC-ND,False
ELT Echo: The Journal of English Language Teaching in Foreign Language Context,2579-8170,2549-5089,English,Tadris Bahasa Inggris IAIN Syekh Nurjati,False,CC BY,False
Scientific Journal of the Military University of Land Forces,2544-7122,2545-0719,English,Military University of Land Forces,False,CC BY,False
Jurnal Sain Peternakan Indonesia,1978-3000,2528-7109,Indonesian,BPFP Universitas Bengkulu,False,CC BY-SA,True
Refract,N/A,2640-9429,English,"eScholarship Publishing, University of California",False,CC BY,False
English Studies at NBU,2367-5705,2367-8704,English,New Bulgarian University,True,CC BY-NC,False
"Вісник НЮУ імені Ярослава Мудрого: Серія: Філософія, філософія права, політологія, соціологія",2075-7190,2663-5704,"English, Russian, Ukrainian",Yaroslav Mudryi National Law University,False,CC BY,True
Geosul,0103-3964,2177-5230,Portuguese,Universidade Federal de Santa Catarina,False,CC BY,False
Romanian Journal of Historical Studies,N/A,2601-3428,English,Ovidius University of Constanta,False,CC BY,False
"EcoSoEn: Ştiinţe Economice, Sociale şi Inginereşti = Economics, Social and Engineering Sciences",2587-344X,N/A,"English, French, Romanian, Russian",Free International University of Moldova,False,CC BY,False
Zanco Journal of Medical Sciences,1995-5588,1995-5596,English,Hawler Medical University,False,CC BY-NC-SA,True
Journal of Cultural Analytics,N/A,2371-4549,English,"Department of Languages, Literatures, and Cultures at McGill University",False,CC BY,False
Наукові праці Національної бібліотеки України імені В.І. Вернадського,2224-9516,2224-9524,"English, Russian, Ukrainian",Vernadsky National Library of Ukraine,False,CC BY-NC,False
International Journal of Automation and Smart Technology,N/A,2223-9766,English,Chinese Institute of Automation Engineers (CIAE) & Taiwan Smart Living Space Association (SMART LISA),False,CC BY-NC-ND,False
Jurnal Wawasan Yuridika,2549-0664,2549-0753,Indonesian,Sekolah Tinggi Hukum Bandung,False,CC BY-SA,False
Via Inveniendi Et Iudicandi,N/A,1909-0528,Spanish,Universidad Santo Tomás,False,CC BY-SA,False
المجلة العراقية لبحوث السوق وحماية المستهلك,2071-3894,2523-6180,"Arabic, English",Market Research and Consumer Protection Center,False,CC BY,True
Mediterranea,N/A,2445-2378,"English, French, Italian, Spanish",Universidad de Córdoba,False,CC BY,False
Rakenteiden Mekaniikka,0783-6104,1797-5301,"Finnish, English",Finnish Association of Structural Mechanics,False,CC BY,False
Clinical and Translational Gastroenterology,N/A,2155-384X,English,Wolters Kluwer,False,CC BY-NC-ND,True
Ideas in Ecology and Evolution,N/A,1918-3178,English,Queen's University,False,CC BY,True
Revista de Ciências Agrárias,N/A,2177-8760,Portuguese,Universidade Federal Rural da Amazônia (UFRA),False,CC BY,False
Enfermería Universitaria,1665-7063,2395-8421,Spanish,Universidad Nacional Autónoma de México,False,CC BY-NC-ND,False
ImmunoHorizons,N/A,2573-7732,English,The American Association of Immunologists,False,CC BY-NC-ND,True
Journal of Teaching and Learning,N/A,1911-8279,English,University of Windsor,False,CC BY-NC,False
Vestnik MGIMO-Universiteta,2071-8160,2541-9099,"English, Russian",MGIMO University Press,False,CC BY,False
Zero-a-seis,N/A,1980-4512,Portuguese,Universidade Federal de Santa Catarina,False,CC BY,False
Memoirs of the Scientific Sections of the Romanian Academy,1224-1407,2343-7049,English,Publishing House of the Romanian Academy,False,CC BY-NC-ND,False
Revista Brasileira de História & Ciências Sociais,N/A,2175-3423,"Portuguese, Spanish",Universidade Federal do Rio Grande,False,CC BY,False
Kritike: An Online Journal of Philosophy,1908-7330,N/A,"English, Tagalog",University of Santo Tomas,False,CC BY-NC-ND,False
Zhishi guanli luntan,N/A,2095-5472,Chinese,LIS Press,False,CC BY,False
Archives of Nursing Research,N/A,2530-6855,Spanish,Colegio de Enfermería de Caceres,False,CC BY,False
"Bulletin de l’Institut Scientifique, Section Sciences de la Vie",1114-8500,2458-7176,"English, French","Mohammed V University of Rabat, Scientific Institut",False,CC BY-NC-ND,False
PFTJ: Pasundan Food Technology Journal,2356-1742,N/A,"English, Indonesian",Universitas Pasundan,False,CC BY,False
Unnes Journal of Biology Education,2252-6579,N/A,"English, Indonesian",Universitas Negeri Semarang,False,CC BY,True
Transformations,N/A,1444-3775,English,Central Queensland University,False,CC BY,False
Romanian Review of Regional Studies,1841-1576,N/A,English,Cluj University Press,False,CC BY,False
Philosophers' Imprint,N/A,1533-628X,English,Michigan Publishing,False,CC BY-NC-ND,False
Majalah Obstetri dan Ginekologi,0854-0381,2598-1013,"English, Indonesian",Universitas Airlangga,False,CC BY-NC-SA,True
Futhark: International Journal of Runic Studies,1892-0950,2003-296X,"Danish, English, German, Norwegian, Swedish",University of Oslo & Uppsala University,False,CC BY,False
مجلة الآداب و العلوم الإجتماعية,1112-4776,2588-1906,"Arabic, English, French",Université Sétif 2,False,CC BY-NC-ND,False
Revista Ibero-Americana de Ciência da Informação,N/A,1983-5213,"English, Portuguese, Spanish",Universidade de Brasília,False,CC BY-NC,False
"Ovidius University Annals, Series Physical Education and Sport/Science, Movement and Health",1224-7359,N/A,English,Ovidius University Press,False,CC BY,True
Comunicación y Medios,0716-3991,0719-1529,Spanish,Universidad de Chile,False,CC BY-NC,False
Estudios de Cultura Maya,0185-2574,N/A,"English, French, Spanish",Universidad Nacional Autónoma de México,False,CC BY-NC,False
Рукописна та книжкова спадщина України,2222-4203,N/A,"English, Ukrainian, Polish",Vernadsky National Library of Ukraine,False,CC BY-NC,False
OIDA International Journal of Sustainable Development,1923-6654,1923-6662,English,Ontario International Development Agency,False,CC BY,True
Faktor Exacta,1979-276X,2502-339X,Indonesian,Lembaga Penelitian Universitas Indraprasta PGRI,False,CC BY-NC,False
Gazeta Médica,2183-8135,2184-0628,"English, Portuguese",José de Mello Saúde,False,CC BY-NC-ND,False
Política Común,N/A,2007-5227,"English, Spanish",Michigan Publishing,False,CC BY,False
Proceedings of the Mongolian Academy of Sciences,2310-4716,2312-2994,"English, Mongolian, Russian",Mongolian Academy of Sciences,False,CC BY,False
Jurnal Kependidikan: Penelitian Inovasi Pembelajaran,2580-5525,2580-5533,Indonesian,Yogyakarta State University,False,CC BY-SA,True
Musas,N/A,2385-7005,Spanish,Universitat de Barcelona,False,CC BY-NC,False
Geological Behavior,2521-0890,2521-0491,English,Zibeline International,False,CC BY,False
Extensio: Revista Eletrônica de Extensão,N/A,1807-0221,Portuguese,Universidade Federal de Santa Catarina,False,CC BY-NC-SA,False
Artefacto Visual,N/A,2530-4119,Spanish,Red de Estudios Visuales Latinoamericanos (ReVLaT),False,CC BY-ND,False
Contemporary Voices,N/A,2516-3159,English,University of St Andrews,False,CC BY,False
Open Physics,N/A,2391-5471,English,De Gruyter,False,"CC BY, CC BY-NC-ND",True
Revista Iberoamericana de Educación,1022-6508,1681-5653,"Portuguese, Spanish","Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",False,CC BY,False
Teknik,0852-1697,2460-9919,"Indonesian, English",Diponegoro University,False,CC BY-SA,True
Scientific Bulletin of the Politehnica University of Timişoara: Transactions on Modern Languages,1583-7467,N/A,"English, French, German",Editura Politehnica,False,CC BY,False
Studia Universitatis Babeş-Bolyai Negotia,1224-8738,2065-9636,English,Studia Universitatis Babes-Bolyai,False,CC BY-NC-ND,False
الخطاب,1112-7082,2602-5310,"Arabic, English, French",laboratoire d'analyse du discours,False,CC BY,False
Revista de Estudios Clásicos,0325-3465,2469-0643,"English, French, Italian, Portuguese, Spanish",Universidad Nacional de Cuyo,False,CC BY-NC-SA,False
Le Journal de la Cybercriminalité & des Investigations Numériques,N/A,2494-2715,"English, French",Centre Expert contre la Cybercriminalité Français (CECyF),False,CC BY,False
Contabilitate şi Informatică de Gestiune,1583-4387,N/A,English,Bucharest University of Economic Studies,False,CC BY,False
Les Ateliers de l’Ethique,N/A,1718-9977,"French, English",Université de Montréal,False,CC BY,False
Ágora de Heterodoxias,N/A,2443-4361,"Spanish, English, Portuguese",Universidad Centroccidental Lisandro Alvarado,False,CC BY-NC-SA,False
Academia: Архитектура и строительство,2077-9038,N/A,Russian,Russian Academy of Architecture and Construction Sciences (RAACS),False,CC BY-NC-SA,False
Journal of Advances in Environmental Health Research,N/A,2345-3990,English,Kurdistan University of Medical Sciences,False,CC BY,False
Cuadernos de Información y Comunicación,1135-7991,1988-4001,Spanish,Universidad Complutense de Madrid,False,CC BY,False
Journal of the Korean Institute of Electromagnetic Engineering and Science,2234-8409,2234-8395,English,The Korean Institute of Electromagnetic Engineering and Science,False,CC BY-NC,True
Revista de la Sociedad Entomológica Argentina,0373-5680,1851-7471,"English, Spanish",Sociedad Entomológica Argentina,False,CC BY,False
Vestnik of Vitebsk State Technological University,2079-7958,2306-1774,Russian,Витебский государственнный технологический университет,False,CC BY,False
American Journal of Experimental and Clinical Research,2330-9237,2330-9245,English,American Journal of Experimental and Clinical Research,False,CC BY-NC-ND,False
ICTACT Journal on Image and Video Processing,0976-9099,0976-9102,English,ICT Academy of Tamil Nadu,False,CC BY-NC-SA,False
Alternative Francophone,N/A,1916-8470,"English, French",University of Alberta,False,CC BY-NC-SA,False
Revista EDaPECI: Educação a Distância e Práticas Educativas Comunicacionais e Interculturais,N/A,2176-171X,Portuguese,Universidade Federal de Sergipe,False,CC BY-NC-ND,False
Diritto penale contemporaneo - Rivista trimestrale,N/A,2240-7618,"Italian, German, English",Associazione Diritto penale contemporaneo,False,CC BY-NC,False
Humanities,N/A,2240-7715,"Italian, English",University of Messina,False,CC BY-NC-ND,False
Case Reports,N/A,2462-8522,"English, Spanish",Universidad Nacional de Colombia,False,CC BY,False
"Kairós, Revista de Ciencias Económicas, Jurídicas y Administrativas",N/A,2631-2743,Spanish,Universidad Nacional de Chimborazo,False,CC BY-NC-ND,False
Multimed,N/A,1028-4818,"English, Spanish",Universidad de Ciencias Médicas de Granma,False,CC BY-NC-SA,False
Jurnal Ilmiah Ilmu Ushuluddin,1412-5188,2549-3752,"Arabic, English, Indonesian","Ushuluddin and Humanities Faculty, Antasari State Islamic University of  Banjarmasin, Indonesia",False,CC BY-SA,False
Revista Interamericana de Psicología Ocupacional,2539-5238,2500-5669,Spanish,Centro de Investigación en Comportamiento Organizacional Cincel,False,CC BY-NC,False
Medisur,N/A,1727-897X,Spanish,Centro Provincial de Información de Ciencias Médicas. Cienfuegos,False,CC BY-NC-ND,False
Вісник Астрономічної школи,1607-2855,2411-6602,"English, Russian, Ukrainian",National Aviation University,False,CC BY-NC-ND,True
Journal of Occupational Therapy Education,N/A,2573-1378,English,Eastern Kentucky University,False,CC BY-NC-ND,False
КардиоСоматика,2221-7185,2658-5707,"English, Russian",Concilium Medicum,False,CC BY-NC,False
Jurnal Manajemen dan Pelayanan Farmasi,2088-8139,2443-2946,Indonesian,Universitas Gadjah Mada,False,CC BY-NC-ND,False
Jurnal Visi Ilmu Pendidikan,2085-9848,2579-552X,Indonesian,Universitas Tanjungpura,False,CC BY-NC,False
Культура України,2410-5325,2522-1140,"English, Ukrainian",Kharkiv State Academy of Culture,False,CC BY-NC-SA,False
Przegląd Badań Edukacyjnych,1895-4308,N/A,"English, Polish, Russian",Nicolaus Copernicus University in Toruń,False,CC BY-ND,False
Journal of Korean Neurosurgical Society,2005-3711,1598-7876,"English, Korean",The Korean Neurosurgical Society,False,CC BY-NC,True
Ogigia,N/A,1887-3731,Spanish,Valladolid University,False,CC BY-NC,False
La Propiedad Inmaterial,1657-1959,2346-2116,"English, Spanish",Universidad Externado de Colombia,False,CC BY-NC-SA,False
RevistArquis,N/A,2215-275X,Spanish,Universidad de Costa Rica,False,CC BY-NC-ND,False
G|A|M|E The Italian Journal of Game Studies,N/A,2280-7705,"English, Italian",Ass.ne Culturale Ludica,False,CC BY-NC,False
Microbial Genomics,N/A,2057-5858,English,Microbiology Society,False,CC BY,True
Pesquisa Agropecuária Gaúcha,0104-9070,2595-7686,Portuguese,Fundação Estadual de Pesquisa Agropecuária (Fepagro),False,CC BY-NC-SA,False
Agrin: Jurnal Penelitian Pertanian,1410-0029,2549-6786,Indonesian,Jenderal Soedirman University,False,CC BY,True
Iranian Journal of Applied Ecology,2476-3128,2476-3217,Persian,Isfahan University of Technology,False,CC BY-NC,True
"Scientific Papers Series : Management, Economic Engineering in Agriculture and Rural Development",2284-7995,2285-3952,English,"University of Agricultural Sciences and Veterinary Medicine, Bucharest",False,CC BY,False
Lumen et Virtus,N/A,2177-2789,"English, German, Portuguese, Spanish",JackBran Consult Ltda.,False,CC BY-NC,False
Ingenio Magno,2145-9282,N/A,"Spanish, English",Universidad Santo Tomás,False,CC BY-NC-ND,False
Journal of Medical and Surgical Research,N/A,2351-8200,English,Medical and Surgical Research Journals Group,False,CC BY-NC-ND,False
Vok@Sindo: Jurnal Ilmu-Ilmu Terapan dan Hasil Karya Nyata,2338-5103,2527-340X,Indonesian,University of Brawijaya,False,CC BY-NC,False
International Journal of Cardiovascular Sciences,2359-4802,2359-5647,"English, Portuguese",Sociedade Brasileira de Cardiologia,False,CC BY,False
Вісник КНУКіМ: Серія Мистецтвознавство,2410-1176,2616-4183,"English, Russian, Ukrainian",Kyiv National University of Culture and Arts,False,CC BY,False
Pakistan Journal of Commerce and Social Sciences,1997-8553,2309-8619,English,Johar Education Society,False,CC BY-NC,False
Californian Journal of Health Promotion,N/A,1545-8725,English,Californian Journal of Health Promotion,False,CC BY,True
Journal of Mechanical Engineering Science and Technology,2580-0817,2580-2402,English,Universitas Negeri Malang,False,CC BY-SA,False
Rocznik Filozoficzny Ignatianum,N/A,2300-1402,"English, German, Polish",Wydawnictwo Ignatianum,False,CC BY,False
